App,IP,Service,Connections,Traffic Size,,,App,IP,,,,,,,# of apps connected,# of unique IPS,,
../pcaps/Android9.0/com.playgendary.kickthebuddy.apk.pcap,13.32.252.130,benign,45,16337,,,../pcaps/Android9.0/com.playgendary.tom.apk.pcap,13.32.252.130,3,,,,152.199.4.33,1,,,,
../pcaps/Android9.0/com.playgendary.tom.apk.pcap,13.32.252.138,benign,663,536115,,,../pcaps/Android9.0/com.playgendary.tom.apk.pcap,13.32.252.138,1,,,,172.217.0.35,1,,,,
../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.14,benign,29,6058,,,../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.252.14,3,,,,172.217.10.35,1,,,,
../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.14,benign,122,39396,,,../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.14,3,,,,172.217.11.67,1,,,,
../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.252.14,benign,168,45323,,,../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.14,3,,,,172.217.13.99,1,,,,
../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.146,benign,34,14800,,,../pcaps/Android9.0/com.fullfat.bw.apk.pcap,13.32.252.146,4,,,,172.217.14.214,1,,,,
../pcaps/Android9.0/com.fullfat.bw.apk.pcap,13.32.252.146,benign,36,17550,,,../pcaps/Android9.0/com.mindy.grap1.apk.pcap,13.32.252.146,4,,,,172.217.14.230,1,,,,
../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.146,benign,97,32339,,,../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.146,4,,,,172.217.14.240,1,,,,
../pcaps/Android9.0/com.mindy.grap1.apk.pcap,13.32.252.146,benign,146,42083,,,../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.146,4,,,,172.217.14.243,1,,,,
../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.252.155,benign,27,4071,,,../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.252.155,2,,,,172.217.14.246,1,,,,
../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.155,benign,1564,1775191,,,../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.155,2,,,,172.217.16.131,1,,,,
../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.252.16,benign,9,683,,,../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.252.16,1,,,,172.217.17.227,1,,,,
../pcaps/Android9.0/com.h8games.helixjump.apk.pcap,13.32.252.160,benign,99,39948,,,../pcaps/Android9.0/com.h8games.helixjump.apk.pcap,13.32.252.160,1,,,,172.217.18.227,1,,,,
../pcaps/Android9.0/com.playrix.homescapes.apk.pcap,13.32.252.170,benign,46,23857,,,../pcaps/Android9.0/com.playrix.homescapes.apk.pcap,13.32.252.170,1,,,,172.217.212.120,1,,,,
../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.172,benign,49,34588,,,../pcaps/Android9.0/com.parking.game.apk.pcap,13.32.252.172,2,,,,172.217.3.180,1,,,,
../pcaps/Android9.0/com.parking.game.apk.pcap,13.32.252.172,benign,1004,1148727,,,../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.172,2,,,,172.217.3.197,1,,,,
../pcaps/Android9.0/com.fullfat.bw.apk.pcap,13.32.252.174,benign,881,986989,,,../pcaps/Android9.0/com.fullfat.bw.apk.pcap,13.32.252.174,6,,,,172.217.3.198,1,,,,
../pcaps/Android9.0/com.parking.game.apk.pcap,13.32.252.174,benign,1930,1835285,,,../pcaps/Android9.0/com.parking.game.apk.pcap,13.32.252.174,6,,,,172.217.8.3,1,,,,
../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.174,benign,2643,3240414,,,../pcaps/Android9.0/com.playgendary.kickthebuddy.apk.pcap,13.32.252.174,6,,,,173.194.152.8,1,,,,
../pcaps/Android9.0/com.playgendary.kickthebuddy.apk.pcap,13.32.252.174,benign,3567,4077893,,,../pcaps/Android9.0/com.sausageflip.game.apk.pcap,13.32.252.174,6,,,,173.194.70.120,1,,,,
../pcaps/Android9.0/com.youmusic.magictiles.apk.pcap,13.32.252.174,benign,4556,4942553,,,../pcaps/Android9.0/com.youmusic.magictiles.apk.pcap,13.32.252.174,6,,,,174.129.4.175,1,,,,
../pcaps/Android9.0/com.sausageflip.game.apk.pcap,13.32.252.174,benign,10055,11791742,,,../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.174,6,,,,176.34.154.239,1,,,,
../pcaps/Android9.0/com.halfbrick.fruitninjafree.apk.pcap,13.32.252.178,benign,9,1281,,,../pcaps/Android9.0/com.halfbrick.fruitninjafree.apk.pcap,13.32.252.178,1,,,,18.195.134.78,1,,,,
../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.182,benign,37,5850,,,../pcaps/Android9.0/com.sausageflip.game.apk.pcap,13.32.252.182,4,,,,18.205.214.103,1,,,,
../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.182,benign,620,216548,,,../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.252.182,4,,,,18.206.2.146,1,,,,
../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.252.182,benign,682,254738,,,../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.182,4,,,,18.234.166.237,1,,,,
../pcaps/Android9.0/com.sausageflip.game.apk.pcap,13.32.252.182,benign,2311,905567,,,../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.182,4,,,,18.235.158.238,1,,,,
../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.191,benign,505,674285,,,../pcaps/Android9.0/com.parking.game.apk.pcap,13.32.252.191,4,,,,184.169.220.10,1,,,,
../pcaps/Android9.0/com.sausageflip.game.apk.pcap,13.32.252.191,benign,801,908666,,,../pcaps/Android9.0/com.sausageflip.game.apk.pcap,13.32.252.191,4,,,,184.73.158.137,1,,,,
../pcaps/Android9.0/com.parking.game.apk.pcap,13.32.252.191,benign,802,909048,,,../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.191,4,,,,184.73.240.198,1,,,,
../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.191,benign,959,868903,,,../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.191,4,,,,185.151.204.12,1,,,,
../pcaps/Android9.0/com.fullfat.bw.apk.pcap,13.32.252.194,benign,34,12136,,,../pcaps/Android9.0/com.fullfat.bw.apk.pcap,13.32.252.194,1,,,,185.151.204.13,1,,,,
../pcaps/Android9.0/com.youmusic.magictiles.apk.pcap,13.32.252.201,benign,877,974198,,,../pcaps/Android9.0/com.mindy.grap1.apk.pcap,13.32.252.201,6,,,,185.151.204.15,1,,,,
../pcaps/Android9.0/com.sausageflip.game.apk.pcap,13.32.252.201,benign,1687,1921910,,,../pcaps/Android9.0/com.parking.game.apk.pcap,13.32.252.201,6,,,,185.151.204.7,1,,,,
../pcaps/Android9.0/com.snow.drift.apk.pcap,13.32.252.201,benign,2105,2258034,,,../pcaps/Android9.0/com.sausageflip.game.apk.pcap,13.32.252.201,6,,,,185.151.204.8,1,,,,
../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.252.201,benign,2617,2854519,,,../pcaps/Android9.0/com.snow.drift.apk.pcap,13.32.252.201,6,,,,203.119.215.106,1,,,,
../pcaps/Android9.0/com.parking.game.apk.pcap,13.32.252.201,benign,3790,4110463,,,../pcaps/Android9.0/com.youmusic.magictiles.apk.pcap,13.32.252.201,6,,,,203.119.244.125,1,,,,
../pcaps/Android9.0/com.mindy.grap1.apk.pcap,13.32.252.201,benign,8513,10260988,,,../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.252.201,6,,,,205.185.208.154,1,,,,
../pcaps/Android9.0/com.playgendary.kickthebuddy.apk.pcap,13.32.252.215,benign,645,534962,,,../pcaps/Android9.0/com.playgendary.kickthebuddy.apk.pcap,13.32.252.215,1,,,,205.185.216.10,1,,,,
../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.23,benign,34,14563,,,../pcaps/Android9.0/com.fullfat.bw.apk.pcap,13.32.252.23,8,,,,205.185.216.42,1,,,,
../pcaps/Android9.0/com.h8games.helixjump.apk.pcap,13.32.252.23,benign,75,27111,,,../pcaps/Android9.0/com.h8games.helixjump.apk.pcap,13.32.252.23,8,,,,209.115.181.108,1,,,,
../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.252.23,benign,95,30754,,,../pcaps/Android9.0/com.playgendary.tanks.apk.pcap,13.32.252.23,8,,,,209.15.224.17,1,,,,
../pcaps/Android9.0/com.youmusic.magictiles.apk.pcap,13.32.252.23,benign,115,40620,,,../pcaps/Android9.0/com.sausageflip.game.apk.pcap,13.32.252.23,8,,,,209.197.3.15,1,,,,
../pcaps/Android9.0/com.fullfat.bw.apk.pcap,13.32.252.23,benign,302,295298,,,../pcaps/Android9.0/com.youmusic.magictiles.apk.pcap,13.32.252.23,8,,,,209.197.3.85,1,,,,
../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.23,benign,1160,1352384,,,../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.252.23,8,,,,209.206.41.136,1,,,,
../pcaps/Android9.0/com.playgendary.tanks.apk.pcap,13.32.252.23,benign,1491,1665686,,,../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.23,8,,,,209.206.41.148,1,,,,
../pcaps/Android9.0/com.sausageflip.game.apk.pcap,13.32.252.23,benign,7127,8292265,,,../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.23,8,,,,209.206.41.152,1,,,,
../pcaps/Android9.0/com.fullfat.bw.apk.pcap,13.32.252.232,benign,259,110858,,,../pcaps/Android9.0/com.fullfat.bw.apk.pcap,13.32.252.232,5,,,,209.206.41.153,1,,,,
../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.232,benign,440,348724,,,../pcaps/Android9.0/com.mindy.grap1.apk.pcap,13.32.252.232,5,,,,209.206.41.230,1,,,,
../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.232,benign,819,577004,,,../pcaps/Android9.0/com.parking.game.apk.pcap,13.32.252.232,5,,,,209.206.41.26,1,,,,
../pcaps/Android9.0/com.parking.game.apk.pcap,13.32.252.232,benign,2208,2554337,,,../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.232,5,,,,209.206.41.42,1,,,,
../pcaps/Android9.0/com.mindy.grap1.apk.pcap,13.32.252.232,benign,3713,4677215,,,../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.232,5,,,,209.206.41.52,1,,,,
../pcaps/Android9.0/com.sausageflip.game.apk.pcap,13.32.252.234,benign,963,1146021,,,../pcaps/Android9.0/com.mindy.grap1.apk.pcap,13.32.252.234,3,,,,216.115.100.123,1,,,,
../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.252.234,benign,1097,738380,,,../pcaps/Android9.0/com.sausageflip.game.apk.pcap,13.32.252.234,3,,,,216.58.193.70,1,,,,
../pcaps/Android9.0/com.mindy.grap1.apk.pcap,13.32.252.234,benign,2062,2451503,,,../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.252.234,3,,,,216.58.193.72,1,,,,
../pcaps/Android9.0/com.halfbrick.fruitninjafree.apk.pcap,13.32.252.238,benign,11,2120,,,../pcaps/Android9.0/com.fullfat.bw.apk.pcap,13.32.252.238,4,,,,216.58.194.163,1,,,,
../pcaps/Android9.0/com.fullfat.bw.apk.pcap,13.32.252.238,benign,32,9159,,,../pcaps/Android9.0/com.halfbrick.fruitninjafree.apk.pcap,13.32.252.238,4,,,,216.58.196.163,1,,,,
../pcaps/Android9.0/com.playgendary.tanks.apk.pcap,13.32.252.238,benign,45,13520,,,../pcaps/Android9.0/com.playgendary.tanks.apk.pcap,13.32.252.238,4,,,,216.58.217.51,1,,,,
